"time","x_co","anomaly_co","x_co climatology","num_obs"
20010103,124.278,33.6233,90.6549,39
20010110,107.205,14.996,92.2087,12
20010117,103.048,9.13484,93.9129,49
20010124,95.415,-0.179895,95.5949,58
20010131,90.4419,-6.63964,97.0816,33
20010207,-999.99,-9999,98.2163,-9999
20010214,131.575,32.7009,98.8737,10
20010221,130.263,31.2921,98.9705,159
20010228,110.355,11.8833,98.4719,161
20010307,114.049,16.6568,97.3924,36
20010314,106.704,10.9122,95.7917,28
20010321,104.585,10.8187,93.7663,64
20010328,86.0068,-5.43079,91.4376,34
20010404,84.3791,-4.55932,88.9384,71
20010411,88.2736,1.87347,86.4001,38
20010418,85.6496,1.70895,83.9407,82
20010425,87.2118,5.55563,81.6562,94
20010502,89.5462,9.93061,79.6155,23
20010509,99.4753,21.6155,77.8598,28
20010516,-999.99,-9999,76.4048,-9999
20010523,-999.99,-9999,75.2469,-9999
20010530,-999.99,-9999,74.371,-9999
20010606,-999.99,-9999,73.7585,-9999
20010613,-999.99,-9999,73.3945,-9999
20010620,-999.99,-9999,73.2738,-9999
20010627,-999.99,-9999,73.4024,-9999
20010704,-999.99,-9999,73.7976,-9999
20010711,-999.99,-9999,74.4831,-9999
20010718,-999.99,-9999,75.4832,-9999
20010725,-999.99,-9999,76.814,-9999
20010801,-999.99,-9999,78.4756,-9999
20010808,-999.99,-9999,80.4448,-9999
20010815,-999.99,-9999,82.6705,-9999
20010822,92.1782,7.10579,85.0724,34
20010829,109.879,22.3354,87.544,189
20010905,88.5346,-1.42477,89.9594,106
20010912,93.0754,0.892001,92.1834,77
20010919,100.013,5.92881,94.0843,115
20010926,92.9414,-2.60636,95.5477,38
20011003,86.9749,-9.51425,96.4892,28
20011010,96.5708,-0.294186,96.865,44
20011017,95.0033,-1.67579,96.6791,80
20011024,95.3518,-0.63315,95.9849,92
20011031,86.8202,-8.06237,94.8826,19
20011107,80.7451,-12.7648,93.5099,46
20011114,95.9629,3.93275,92.0301,22
20011121,86.1143,-4.50123,90.6155,24
20011128,93.9761,4.5455,89.4305,32
20011205,100.301,11.6862,88.6145,47
20011212,95.4594,7.19218,88.2672,71
20011219,94.5316,6.09289,88.4387,85
20011226,110.44,21.3167,89.1234,39
20020102,110.92,20.465,90.4545,103
20020109,102.284,10.3106,91.9737,92
20020116,82.1369,-11.5298,93.6667,60
20020123,87.2476,-8.11506,95.3626,54
20020130,98.7393,1.852,96.8874,101
20020206,113.643,15.5619,98.0809,108
20020213,115.659,16.8463,98.8127,73
20020220,107.409,8.41617,98.9929,80
20020227,103.268,4.68833,98.5796,52
20020306,128.605,31.0249,97.5803,108
20020313,114.912,18.8626,96.049,103
20020320,91.112,-2.96526,94.0773,18
20020327,91.8621,0.0782308,91.7838,220
20020403,100.388,11.0875,89.3008,162
20020410,91.6388,4.87838,86.7604,142
20020417,78.4477,-5.83558,84.2833,81
20020424,74.1553,-7.81365,81.9689,78
20020501,71.1303,-8.76002,79.8903,84
20020508,71.275,-6.8173,78.0923,54
20020515,80.4199,3.82566,76.5942,520
20020522,82.4943,7.09969,75.3946,381
20020529,80.0066,5.52697,74.4796,208
20020605,82.0324,8.20194,73.8305,118
20020612,78.6502,5.2186,73.4316,84
20020619,82.7119,9.43583,73.276,155
20020626,79.4116,6.04337,73.3682,223
20020703,79.6036,5.8797,73.7239,475
20020710,78.105,3.73856,74.3665,249
20020717,78.9552,3.63492,75.3203,446
20020724,87.638,11.0346,76.6034,161
20020731,80.3646,2.146,78.2186,171
20020807,94.4457,14.2994,80.1463,332
20020814,106.279,23.9393,82.3396,471
20020821,106.898,22.1757,84.7223,383
20020828,124.147,36.9554,87.1913,208
20020904,95.3096,5.68673,89.6229,152
20020911,115.161,23.2788,91.8825,193
20020918,116.172,22.3346,93.8371,233
20020925,111.555,16.186,95.369,114
20021002,132.174,35.7847,96.3888,153
20021009,118.199,21.3531,96.8463,261
20021016,148.573,51.8348,96.7385,157
20021023,154.714,58.6019,96.1119,167
20021030,121.981,26.9204,95.0602,288
20021106,121.665,27.9486,93.7166,8
20021113,109.094,16.8529,92.2415,18
20021120,93.1508,2.34355,90.8072,79
20021127,98.3951,8.815,89.5801,50
