time,anomaly
19790103,0.048500
19790110,0.029000
19790117,-0.425571
19790124,0.928857
19790131,1.012571
19790207,0.860429
19790214,-0.615286
19790221,0.102000
19790228,0.137286
19790307,1.078143
19790314,0.950857
19790321,0.806286
19790328,1.166571
19790404,0.797143
19790411,0.430286
19790418,1.051143
19790425,0.468143
19790502,-0.199143
19790509,0.451714
19790516,0.699429
19790523,1.175286
19790530,1.616571
19790606,1.330143
19790613,1.400571
19790620,2.173429
19790627,1.488429
19790704,2.232429
19790711,3.026429
19790718,2.203857
19790725,1.782286
19790801,1.751714
19790808,-0.560714
19790815,-1.135857
19790822,1.161000
19790829,2.253714
19790905,0.099571
19790912,1.424571
19790919,0.689429
19790926,0.333857
19791003,0.197286
19791010,-0.491571
19791017,-0.021000
19791024,0.543714
19791031,0.266571
19791107,-0.424714
19791114,0.061429
19791121,-0.203143
19791128,-1.297000
19791205,-1.904714
19791212,-1.870143
19791219,-1.170714
19791226,0.740143
19800102,0.875286
19800109,-0.578286
19800116,-1.057143
19800123,-0.561571
19800130,-0.419714
19800206,-1.020429
19800213,-0.516571
19800220,-0.582571
19800227,-1.820714
19800305,-0.840571
19800312,-0.806857
19800319,-1.176714
19800326,-2.449143
19800402,-2.131000
19800409,-2.936429
19800416,-2.981143
19800423,-1.328714
19800430,0.485286
19800507,0.010571
19800514,-1.079000
19800521,-0.929571
19800528,-0.350000
19800604,-0.697143
19800611,0.751143
19800618,1.235857
19800625,0.106429
19800702,-1.266429
19800709,-1.452429
19800716,-1.279286
19800723,-2.033286
19800730,-3.039571
19800806,-1.148714
19800813,-0.444714
19800820,-0.423857
19800827,-1.490571
19800903,-2.057714
19800910,-1.800714
19800917,-2.322143
19800924,-1.105143
19801001,0.115857
19801008,1.710000
19801015,1.564429
19801022,0.353429
19801029,-1.436571
19801105,-2.517571
19801112,-2.050857
19801119,-1.785286
19801126,-1.753714
19801203,-0.634000
19801210,-0.361429
19801217,-0.297429
19801224,0.003571
19801231,-0.211571
19810107,0.032143
19810114,-0.190000
19810121,0.044143
19810128,1.002429
19810204,0.039143
19810211,0.485714
19810218,0.205429
19810225,-0.588714
19810304,-2.067714
19810311,-1.027000
19810318,-0.419143
19810325,0.015714
19810401,-2.330286
19810408,-3.203857
19810415,-0.174714
19810422,-0.399714
19810429,-1.068714
19810506,-0.483286
19810513,-0.359000
19810520,0.096286
19810527,-0.157000
19810603,-0.724000
19810610,0.774286
19810617,0.813714
19810624,0.833143
19810701,-0.645857
19810708,-0.491143
19810715,-1.123429
19810722,-0.538286
19810729,-2.026143
19810805,-1.680857
19810812,-3.535714
19810819,-3.143571
19810826,-0.745000
19810902,0.055143
19810909,-1.224714
19810916,-1.340571
19810923,-1.887571
19810930,-2.573714
19811007,-1.838857
19811014,-0.513714
19811021,1.280286
19811028,0.985000
19811104,1.014286
19811111,0.198571
19811118,0.731714
19811125,0.733429
19811202,0.021714
19811209,1.123286
19811216,1.158143
19811223,1.688000
19811230,0.585714
19820106,-0.476000
19820113,-0.166429
