"time","anomaly"
19811104,-0.0624965,
19811111,-0.278864,
19811118,-0.394537,
19811125,-0.369909,
19811202,-0.111285,
19811209,0.173564,
19811216,-0.0689643,
19811223,-0.498209,
19811230,-0.526807,
19820106,-0.172332,
19820113,0.26,
19820120,0.353641,
19820127,0.287783,
19820203,0.121864,
19820210,0.237926,
19820217,0.272582,
19820224,0.0386857,
19820303,0.263837,
19820310,0.254905,
19820317,0.275039,
19820324,0.484364,
19820331,0.342801,
19820407,0.315366,
19820414,0.344477,
19820421,0.394318,
19820428,0.632301,
19820505,0.562885,
19820512,0.418558,
19820519,0.570253,
19820526,0.8698,
19820602,0.903815,
19820609,0.686159,
19820616,0.879468,
19820623,0.70819,
19820630,0.31317,
19820707,0.329702,
19820714,0.609652,
19820721,0.640212,
19820728,0.523601,
19820804,0.158611,
19820811,0.0539002,
19820818,0.34409,
19820825,0.498524,
19820901,0.579518,
19820908,0.498333,
19820915,0.330812,
19820922,0.344941,
19820929,0.303572,
19821006,0.373072,
19821013,0.602937,
19821020,0.940976,
19821027,0.940349,
19821103,0.860031,
19821110,0.873026,
19821117,0.669021,
19821124,0.330842,
19821201,0.324157,
19821208,0.316216,
19821215,0.175226,
19821222,-0.000566029,
19821229,-0.306093,
19830105,-0.332342,
19830112,-0.361903,
19830119,-0.325363,
19830126,-0.0387989,
19830202,-0.136612,
19830209,-0.432526,
19830216,-0.562471,
19830223,-0.555783,
19830302,-0.522597,
19830309,-0.442809,
19830316,-0.770573,
19830323,-0.926539,
19830330,-0.812896,
19830406,-0.632582,
19830413,-0.550118,
19830420,-0.68912,
19830427,-0.434741,
19830504,-0.0911702,
19830511,-0.105522,
19830518,0.0295553,
19830525,0.187128,
19830601,0.302487,
19830608,0.414093,
19830615,0.516224,
19830622,0.513125,
19830629,0.725945,
19830706,0.957389,
19830713,0.703108,
19830720,0.386381,
19830727,0.479906,
19830803,0.541324,
19830810,0.520687,
19830817,0.594326,
19830824,0.42915,
19830831,0.210524,
19830907,0.133287,
19830914,0.168406,
19830921,0.214254,
19830928,0.20958,
19831005,0.258935,
19831012,0.0673948,
19831019,-0.0798162,
19831026,-0.122754,
19831102,-0.152672,
19831109,-0.138985,
19831116,0.0470782,
19831123,0.17903,
19831130,0.377812,
19831207,0.198599,
19831214,-0.0707794,
19831221,-0.226573,
19831228,-0.519976,
19840104,-0.335175,
19840111,-0.155082,
19840118,-0.313178,
19840125,-0.278549,
19840201,-0.245206,
19840208,-0.302241,
19840215,-0.451334,
19840222,-0.404499,
19840229,-0.224596,
19840307,-0.0855143,
19840314,0.106256,
19840321,0.00646433,
19840328,-0.0722883,
19840404,0.244057,
19840411,0.40682,
19840418,0.454096,
19840425,0.421192,
19840502,-0.0879436,
19840509,-0.359447,
19840516,-0.438359,
19840523,-0.503548,
19840530,-0.407712,
19840606,-0.259335,
19840613,-0.110024,
19840620,-0.444665,
19840627,-0.684399,
19840704,-0.577502,
19840711,-0.333161,
19840718,-0.408483,
19840725,-0.338006,
19840801,-0.427194,
19840808,-0.378025,
19840815,-0.277664,
19840822,-0.362526,
19840829,-0.318048,
19840905,-0.34185,
19840912,-0.33297,
19840919,-0.417287,
19840926,-0.406406,
19841003,-0.394946,
19841010,-0.344234,
19841017,-0.111194,
19841024,-0.206891,
19841031,-0.186851,
19841107,-0.260983,
19841114,-0.174134,
19841121,-0.393697,
19841128,-0.488213,
19841205,-0.276791,
19841212,-0.236473,
19841219,-0.139802,
19841226,-0.184411,
19850102,-0.0738889,
19850109,0.0716548,
19850116,-0.0857171,
19850123,-0.329607,
19850130,-0.221062,
19850206,-0.283541,
19850213,-0.581562,
19850220,-0.46674,
19850227,-0.115646,
19850306,0.075365,
19850313,-0.131324,
19850320,-0.234955,
19850327,-0.166425,
19850403,-0.216413,
19850410,-0.249855,
19850417,-0.177254,
19850424,0.321026,
19850501,0.283171,
19850508,0.240504,
19850515,0.288608,
19850522,0.112696,
19850529,-0.0948294,
19850605,-0.479735,
19850612,-0.768497,
19850619,-0.646701,
19850626,-0.550046,
19850703,-0.554364,
19850710,-0.596497,
19850717,-0.494013,
19850724,-0.244275,
19850731,-0.338378,
19850807,-0.325207,
19850814,-0.146085,
19850821,-0.10925,
19850828,-0.231455,
19850904,-0.212694,
19850911,-0.103103,
19850918,0.0009742,
19850925,-0.139795,
19851002,-0.253822,
19851009,-0.123692,
19851016,-0.478399,
19851023,-0.649733,
19851030,-0.22218,
19851106,-0.139665,
19851113,-0.278071,
19851120,0.0177352,
19851127,0.333598,
19851204,0.228927,
19851211,-0.164104,
19851218,-0.247454,
19851225,-0.440843,
19860101,-0.550726,
19860108,-0.507024,
19860115,0.0572292,
19860122,0.264682,
19860129,-0.0580025,
19860205,0.0272629,
19860212,0.186186,
19860219,0.0713028,
19860226,0.150623,
19860305,0.347855,
19860312,0.439024,
19860319,0.28123,
19860326,0.195714,
19860402,0.397765,
19860409,0.524784,
19860416,0.323645,
19860423,0.0398162,
19860430,0.255906,
19860507,0.490475,
19860514,0.38157,
19860521,0.293534,
19860528,0.418842,
19860604,0.397916,
19860611,0.0103446,
19860618,-0.00671038,
19860625,-0.290398,
19860702,-0.467245,
19860709,-0.442411,
19860716,-0.74802,
19860723,-0.874301,
19860730,-0.4723,
19860806,-0.272892,
19860813,-0.136279,
19860820,-0.103411,
19860827,-0.179455,
19860903,0.113859,
19860910,0.0990446,
19860917,-0.145882,
19860924,-0.053642,
19861001,-0.0815258,
19861008,-0.145432,
19861015,0.00693351,
19861022,0.087866,
19861029,0.225803,
19861105,0.23621,
19861112,0.284875,
19861119,0.208115,
19861126,-0.131876,
19861203,-0.121762,
19861210,0.218118,
19861217,0.101618,
19861224,-0.109552,
19861231,-0.218097,
19870107,-0.155501,
19870114,-0.195734,
19870121,-0.116073,
19870128,0.0380748,
19870204,-0.0025591,
19870211,-0.151023,
19870218,-0.344984,
19870225,-0.288828,
19870304,-0.031197,
19870311,-0.341497,
19870318,-0.358123,
19870325,-0.0538065,
19870401,-0.10904,
19870408,-0.267859,
19870415,-0.354461,
19870422,-0.123185,
19870429,0.110558,
19870506,0.163799,
19870513,0.405113,
19870520,0.415158,
19870527,0.280568,
19870603,0.0217426,
19870610,-0.281673,
19870617,-0.251952,
19870624,-0.178988,
19870701,-0.288773,
19870708,-0.374541,
19870715,-0.280106,
19870722,-0.238562,
19870729,-0.208056,
19870805,0.0863326,
19870812,0.15763,
19870819,0.138864,
19870826,0.358613,
19870902,0.566252,
19870909,0.539365,
19870916,0.641909,
19870923,0.72044,
19870930,0.271379,
19871007,-0.0387985,
19871014,0.269115,
19871021,0.565977,
19871028,0.499241,
19871104,0.570247,
19871111,0.384167,
19871118,-0.0713729,
19871125,-0.231727,
19871202,-0.136138,
19871209,0.135223,
19871216,0.179622,
19871223,0.0329773,
19871230,-0.172849,
19880106,-0.260336,
19880113,-0.176571,
19880120,0.142553,
19880127,0.265188,
19880203,0.0119168,
19880210,0.0631725,
19880217,0.103814,
19880224,0.0421794,
19880302,-0.09286,
19880309,-0.0372169,
19880316,-0.306114,
19880323,-0.29472,
19880330,-0.190217,
19880406,0.165781,
19880413,0.370241,
19880420,0.0905171,
19880427,0.199719,
19880504,0.221642,
19880511,-0.218201,
19880518,-0.609029,
19880525,-0.830906,
19880601,-0.807678,
19880608,-0.545306,
19880615,-0.216576,
19880622,-0.0661533,
19880629,-0.156307,
19880706,-0.200662,
19880713,-0.0473388,
19880720,0.0869952,
19880727,0.240389,
19880803,0.179052,
