"time","anomaly"
19811104,-1.01013,
19811111,-0.801295,
19811118,-0.508467,
19811125,-0.352146,
19811202,-0.171231,
19811209,-0.356528,
19811216,-0.547238,
19811223,-0.468585,
19811230,-0.197202,
19820106,0.00481668,
19820113,0.0286138,
19820120,0.119362,
19820127,0.0141089,
19820203,-0.122589,
19820210,-0.21612,
19820217,-0.106156,
19820224,-0.105965,
19820303,-0.141106,
19820310,-0.154637,
19820317,-0.168776,
19820324,0.0138723,
19820331,0.0878412,
19820407,0.113593,
19820414,0.214869,
19820421,0.346525,
19820428,0.456096,
19820505,0.432522,
19820512,0.419118,
19820519,0.696433,
19820526,1.00473,
19820602,1.15845,
19820609,1.09092,
19820616,1.05927,
19820623,1.15867,
19820630,1.00552,
19820707,0.990328,
19820714,0.68237,
19820721,0.691347,
19820728,0.730299,
19820804,0.834403,
19820811,1.11109,
19820818,1.16459,
19820825,0.960657,
19820901,0.873397,
19820908,1.0332,
19820915,1.43145,
19820922,1.57615,
19820929,1.59787,
19821006,1.72338,
19821013,1.85316,
19821020,1.97798,
19821027,1.96232,
19821103,1.91299,
19821110,1.94578,
19821117,2.11987,
19821124,2.31563,
19821201,2.39168,
19821208,2.45615,
19821215,2.56295,
19821222,2.66801,
19821229,2.74714,
19830105,2.74351,
19830112,2.71184,
19830119,2.65355,
19830126,2.60383,
19830202,2.50716,
19830209,2.41765,
19830216,2.277,
19830223,2.08091,
19830302,2.08115,
19830309,1.96438,
19830316,1.73212,
19830323,1.58843,
19830330,1.35622,
19830406,1.19031,
19830413,1.11965,
19830420,1.13169,
19830427,1.0985,
19830504,1.05556,
19830511,1.12106,
19830518,1.00706,
19830525,0.902168,
19830601,0.957931,
19830608,0.914812,
19830615,0.697678,
19830622,0.261646,
19830629,0.123558,
19830706,-0.0756889,
19830713,-0.275344,
19830720,-0.308955,
19830727,-0.349569,
19830803,-0.367058,
19830810,-0.43068,
19830817,-0.370637,
19830824,-0.405266,
19830831,-0.394253,
19830907,-0.270868,
19830914,-0.28201,
19830921,-0.328595,
19830928,-0.583708,
19831005,-0.911197,
19831012,-0.830905,
19831019,-0.831324,
19831026,-1.04223,
19831102,-0.923409,
19831109,-0.805371,
19831116,-1.19104,
19831123,-1.47655,
19831130,-1.08945,
19831207,-0.888076,
19831214,-1.05122,
19831221,-1.12071,
19831228,-1.19832,
19840104,-1.04849,
19840111,-0.914191,
19840118,-1.10126,
19840125,-1.1533,
19840201,-0.851099,
19840208,-0.69963,
19840215,-0.477685,
19840222,-0.157153,
19840229,-0.217941,
19840307,-0.27644,
19840314,-0.401968,
19840321,-0.475539,
19840328,-0.64086,
19840404,-0.558634,
19840411,-0.107814,
19840418,-0.167191,
19840425,-0.594078,
19840502,-0.599867,
19840509,-0.301742,
19840516,-0.298705,
19840523,-0.641967,
19840530,-0.694694,
19840606,-0.759605,
19840613,-0.830712,
19840620,-0.870562,
19840627,-0.745204,
19840704,-0.39965,
19840711,-0.544192,
19840718,-0.668745,
19840725,-0.584716,
19840801,-0.570511,
19840808,-0.659581,
19840815,-0.448699,
19840822,-0.520365,
19840829,-0.647568,
19840905,-0.462663,
19840912,-0.231208,
19840919,-0.118677,
19840926,-0.540131,
19841003,-0.812705,
19841010,-0.60595,
19841017,-0.723086,
19841024,-1.10442,
19841031,-1.17651,
19841107,-1.2946,
19841114,-1.32167,
19841121,-1.32145,
19841128,-1.18703,
19841205,-1.38034,
19841212,-1.64097,
19841219,-1.77809,
19841226,-1.8073,
19850102,-1.52659,
