"time","anomaly"
19811104,0.114222,
19811111,0.0279905,
19811118,0.0384841,
19811125,0.145103,
19811202,0.210751,
19811209,0.0709667,
19811216,-0.00238128,
19811223,-0.0870266,
19811230,-0.0988569,
19820106,-0.193462,
19820113,-0.0854961,
19820120,-0.0308082,
19820127,-0.254583,
19820203,-0.320111,
19820210,-0.229902,
19820217,-0.175079,
19820224,-0.172965,
19820303,-0.188931,
19820310,-0.199138,
19820317,-0.240973,
19820324,-0.198224,
19820331,-0.187846,
19820407,-0.3044,
19820414,-0.51165,
19820421,-0.529554,
19820428,-0.50436,
19820505,-0.519725,
19820512,-0.540866,
19820519,-0.574539,
19820526,-0.580793,
19820602,-0.419053,
19820609,-0.350229,
19820616,-0.464018,
19820623,-0.540033,
19820630,-0.54831,
19820707,-0.455422,
19820714,-0.442079,
19820721,-0.580616,
19820728,-0.700984,
19820804,-0.785394,
19820811,-0.890842,
19820818,-0.842829,
19820825,-0.879766,
19820901,-0.823771,
19820908,-0.636935,
19820915,-0.578638,
19820922,-0.440205,
19820929,-0.349613,
19821006,-0.365348,
19821013,-0.362506,
19821020,-0.316795,
19821027,-0.261854,
19821103,-0.31994,
19821110,-0.452952,
19821117,-0.501494,
19821124,-0.348851,
19821201,-0.308318,
19821208,-0.346065,
19821215,-0.34617,
19821222,-0.318586,
19821229,-0.243809,
19830105,-0.0938385,
19830112,0.190951,
19830119,0.258176,
19830126,0.172952,
19830202,0.161052,
19830209,0.242542,
19830216,0.19857,
19830223,0.131189,
19830302,0.0148107,
19830309,-0.059439,
19830316,-0.14173,
19830323,-0.274474,
19830330,-0.267545,
19830406,-0.255661,
19830413,-0.426124,
19830420,-0.330509,
19830427,-0.324482,
19830504,-0.434659,
19830511,-0.46171,
19830518,-0.65962,
19830525,-0.744029,
19830601,-0.733663,
19830608,-0.744592,
19830615,-0.742931,
19830622,-0.554982,
19830629,-0.471436,
19830706,-0.652939,
19830713,-0.724135,
19830720,-0.56189,
19830727,-0.425947,
19830803,-0.359491,
19830810,-0.386098,
19830817,-0.325259,
19830824,-0.344236,
19830831,-0.318936,
19830907,-0.230508,
19830914,-0.168408,
19830921,-0.21369,
19830928,-0.364721,
19831005,-0.45265,
19831012,-0.395816,
19831019,-0.368199,
19831026,-0.246272,
19831102,-0.19284,
19831109,-0.157075,
19831116,-0.0576544,
19831123,0.00352769,
19831130,-0.0436978,
19831207,0.159334,
19831214,0.271662,
19831221,0.171912,
19831228,0.21676,
19840104,0.188734,
19840111,0.374022,
19840118,0.465064,
19840125,0.489419,
19840201,0.537214,
19840208,0.419066,
19840215,0.428706,
19840222,0.55571,
19840229,0.571555,
19840307,0.628058,
19840314,0.589009,
19840321,0.480185,
19840328,0.354684,
19840404,0.326809,
19840411,0.261438,
19840418,0.272659,
19840425,0.468229,
19840502,0.437123,
19840509,0.254809,
19840516,0.0775692,
19840523,0.0882827,
19840530,0.231351,
19840606,0.30666,
19840613,0.436789,
19840620,0.476014,
19840627,0.374904,
19840704,0.312159,
19840711,0.197949,
19840718,0.290544,
19840725,0.341383,
19840801,0.285198,
19840808,0.357957,
19840815,0.496483,
19840822,0.74001,
19840829,0.771427,
19840905,0.638087,
19840912,0.532885,
19840919,0.507344,
19840926,0.63666,
19841003,0.524647,
19841010,0.320377,
19841017,0.3422,
19841024,0.375685,
19841031,0.340766,
19841107,0.200481,
19841114,0.205973,
19841121,0.250585,
19841128,0.145785,
19841205,0.0169714,
19841212,0.156348,
19841219,0.331012,
19841226,0.213291,
19850102,0.148592,
19850109,0.214772,
19850116,0.263934,
19850123,0.234504,
19850130,0.293654,
19850206,0.440908,
19850213,0.418465,
19850220,0.223698,
19850227,0.216186,
19850306,0.155448,
19850313,0.0454824,
19850320,-0.042258,
19850327,0.00574398,
19850403,0.144063,
19850410,-0.0211321,
19850417,-0.120789,
19850424,0.0199745,
19850501,0.0454702,
19850508,0.0121506,
19850515,0.0265979,
19850522,0.0284705,
19850529,0.00117003,
19850605,-0.125861,
19850612,-0.139588,
19850619,-0.0817362,
19850626,-0.048002,
19850703,-0.0986048,
19850710,-0.15004,
19850717,-0.0150836,
19850724,0.171458,
19850731,0.105957,
19850807,-0.000646027,
19850814,0.135194,
19850821,0.0432542,
19850828,-0.0666768,
19850904,-0.065034,
19850911,-0.110484,
19850918,-0.0734055,
19850925,-0.0793588,
19851002,-0.0221096,
19851009,0.0606269,
19851016,0.169034,
19851023,0.13516,
19851030,0.115461,
19851106,0.155284,
19851113,0.185191,
19851120,0.136784,
19851127,0.114818,
19851204,0.109225,
19851211,-0.0237774,
19851218,0.0468793,
19851225,0.0237203,
19860101,-0.13255,
19860108,-0.260804,
19860115,-0.0499699,
19860122,0.112995,
19860129,0.164707,
19860205,0.253613,
19860212,0.242061,
19860219,0.301361,
19860226,0.252075,
19860305,0.219298,
19860312,0.191805,
19860319,0.220893,
19860326,0.246779,
19860402,0.201494,
19860409,0.202784,
19860416,0.0476141,
19860423,0.0484793,
19860430,0.183421,
19860507,0.179571,
19860514,0.143591,
19860521,0.0972227,
19860528,0.216797,
19860604,0.333602,
19860611,0.178087,
19860618,0.146301,
19860625,0.218668,
19860702,0.183191,
19860709,0.10926,
19860716,0.0748806,
19860723,-0.135681,
19860730,-0.108716,
19860806,0.0442216,
19860813,0.0766538,
19860820,0.103024,
19860827,0.124462,
19860903,0.139711,
19860910,0.174199,
19860917,0.0903376,
